Activity Type,Distance,Calories,Avg HR,Max HR,Aerobic TE,Total Reps,Total Sets,Elapsed Time (hours),Total Calories,Steps,Goal_Achieved
Strength,0,187,84,117,0.2,233,20,0.937,2270,2342,0
Cardio,0,190,121,156,2.0,0,0,0.348,2361,4399,0
Calgary Running,5.16,370,155,187,3.3,0,0,0.438,2517,5715,1
Calgary Walking,2.07,133,96,110,0.4,0,0,0.424,2487,5451,0
Cardio,0,247,117,151,1.9,0,0,0.500,2487,5451,0
Calgary Cycling,7.43,272,129,172,2.3,0,0,0.524,2936,8639,1
Strength,0,129,111,143,1.0,190,13,0.319,2439,3412,0
Calgary Cycling,5.74,132,108,129,0.7,0,0,0.327,2439,3412,0
Calgary Cycling,12.64,501,98,147,1.6,0,0,1.715,2534,2959,0
Calgary Cycling,9.58,295,110,154,1.9,0,0,9.093,3321,6451,1
Cardio,0,201,103,138,1.1,0,0,0.554,2309,2765,0
Cardio,0,136,104,128,0.5,0,0,0.364,2249,1701,0
Calgary Running,2.14,140,153,179,2.4,0,0,0.169,2491,4576,0
Calgary Cycling,5.8,228,129,169,2.4,0,0,2.061,2535,4203,0
Cardio,0,182,119,144,1.4,0,0,0.355,2358,2993,0
Cardio,0,235,130,156,2.2,0,0,0.371,2412,1768,0
Strength,0,697,105,135,1.3,630,45,2.336,2726,4800,0
Calgary Cycling,2.5,64,118,135,0.6,0,0,0.119,2884,7001,1
Calgary Walking,3.22,348,77,117,0.3,0,0,1.862,2884,7001,1
Calgary Cycling,2.5,60,103,125,0.3,0,0,0.154,2884,7001,1
Calgary Cycling,5.66,191,117,147,1.0,0,0,1.386,2884,7001,1
Calgary Cycling,5.16,169,113,144,1.7,0,0,2.799,2324,1180,0
Strength,0,236,118,140,1.5,100,10,0.692,3011,8278,1
Calgary Cycling,7.75,383,127,170,2.5,0,0,0.755,3011,8278,1
Calgary Hiking,10.2,1208,96,146,1.1,0,0,4.555,3104,11554,1
Calgary Cycling,20.44,697,128,170,2.7,0,0,1.342,2863,2230,0
Cardio,0,318,122,162,2.1,0,0,0.838,2456,1957,0
Calgary Cycling,45.22,1070,130,168,3.1,0,0,2.268,3030,1326,0
Cardio,0,247,144,187,2.8,0,0,0.355,2558,6756,1
Cardio,0,170,158,177,2.7,0,0,0.196,2558,6756,1
Cardio,0,236,119,157,1.7,0,0,0.489,2702,1830,0
Calgary Cycling,17.83,463,114,157,2.1,0,0,1.148,2702,1830,0
Cardio,0,410,114,163,2.4,0,0,1.026,2526,3546,0
Cardio,0,269,132,158,2.2,0,0,0.607,2700,2923,0
Calgary Cycling,3.9,322,105,148,1.0,0,0,0.914,2700,2923,0
Calgary Walking,2.85,186,103,127,0.6,0,0,0.543,2412,5467,0
Cardio,0,121,114,140,1.0,0,0,0.254,2412,5467,0
Calgary Walking,3.22,260,99,123,0.6,0,0,0.960,2809,5747,1
Calgary Cycling,4.97,584,105,144,1.4,0,0,1.701,2809,5747,1
Calgary Cycling,20.12,804,111,155,2.3,0,0,4.413,4275,3575,0
Calgary Cycling,27.36,1259,112,152,2.0,0,0,4.142,4275,3575,0
Calgary Walking,2.74,182,105,118,0.6,0,0,0.573,2698,15388,1
Calgary Cycling,6.54,262,113,148,1.8,0,0,0.626,4015,18148,1
Calgary Walking,8.99,832,109,135,1.5,0,0,2.775,4015,18148,1
Calgary Cycling,11.54,592,128,177,3.0,0,0,1.258,4015,18148,1
Calgary Cycling,12.48,673,106,148,1.7,0,0,3.563,2785,3740,0
Calgary Walking,3.22,214,97,129,0.7,0,0,0.598,2523,5876,1
Cardio,0,283,109,143,1.4,0,0,0.750,2523,5876,1
Calgary Hiking,8.97,1049,94,126,0.9,0,0,3.653,2907,10169,1
Cardio,0,294,126,160,2.4,0,0,0.626,2596,1945,0
Calgary Cycling,23.95,1262,98,148,1.5,0,0,4.345,3079,1233,0
Cardio,0,127,118,139,0.9,0,0,0.252,2275,1766,0
Calgary Running,2.24,155,155,193,2.6,0,0,0.190,2692,5816,1
Cardio,0,328,117,152,1.8,0,0,0.726,2692,5816,1
Cardio,0,119,136,163,2.0,0,0,0.169,2343,2652,0
Calgary Hiking,5.53,662,99,139,1.0,0,0,2.329,2972,10018,1
Cardio,0,298,135,183,2.7,0,0,0.506,2972,10018,1
Calgary Cycling,4.38,582,113,153,2.1,0,0,1.400,2682,887,0
Cardio,0,151,86,138,0.9,0,0,0.748,2338,4274,0
Calgary Hockey,6.24,805,124,159,2.3,0,0,1.857,2988,14463,1
